fw_taxon_id	canonical_name	rank	gbif_taxon_id	inat_taxon_id	worms_aphia_id	wikidata_qid	merged_into	created_on
42893	Trichopodus trichopterus	species	5211169	188583				2026-09-13
42894	Trichopsetta	genus	2408375	92620				2026-09-13
42895	Trichopsetta caribbaea	species	2408380	609389				2026-09-13
42896	Trichopsetta melasma	species	2408378	609390				2026-09-13
42897	Trichopsetta orbisulcus	species	2408379	459392				2026-09-13
42898	Trichopsetta ventralis	species	2408376	131520				2026-09-13
42899	Trichopsis	genus	2394137	92621				2026-09-13
42900	Trichopsis pumila	species	5211204	188584				2026-09-13
42901	Trichopsis schalleri	species	5211203	188585				2026-09-13
42902	Trichopsis vittata	species	5211201	188586				2026-09-13
42903	Trichosomus	genus	7946558	1312989				2026-09-13
42904	Trichosomus trachinoides	species	11762609	1315869				2026-09-13
42905	Trichromis	genus	8594419	623759				2026-09-13
42906	Trichromis salvini	species	9321404	623760				2026-09-13
42907	Tricuspidalestes	genus	2356160	92624				2026-09-13
42908	Tricuspidalestes caeruleus	species	2356161	114395				2026-09-13
42909	Tridens	genus	2343291	92625				2026-09-13
42910	Tridens chicomendesi	species		1545512				2026-09-13
42911	Tridens melanops	species	5202904	621891				2026-09-13
42912	Tridens vitreus	species		1545511				2026-09-13
42913	Tridensimilis	genus	2343340	92626				2026-09-13
42914	Tridensimilis venezuelae	species	2343341	114397				2026-09-13
42915	Tridentiger	genus	2376455	56898				2026-09-13
42916	Tridentiger bifasciatus	species	2376461	83175				2026-09-13
42917	Tridentiger brevispinis	species	2376456	470340				2026-09-13
42918	Tridentiger kuroiwae	species	2376460	114398				2026-09-13
42919	Tridentiger niger	species	8883839	1596895				2026-09-13
42920	Tridentiger obscurus	species	2376459	470339				2026-09-13
42921	Tridentiger trigonocephalus	species	2376462	208897				2026-09-13
42922	Tridentopsis	genus	2343301	92627				2026-09-13
42923	Tridentopsis brevis	species		1508595				2026-09-13
42924	Tridentopsis cahuali	species	2343304	621893				2026-09-13
42925	Tridentopsis pearsoni	species	2343303	621894				2026-09-13
42926	Tridentopsis tocantinsi	species	2343302	621895				2026-09-13
42927	Trigla	genus	2333622	92628				2026-09-13
42928	Trigla lyra	species	2336771	118627				2026-09-13
42929	Triglachromis	genus	2370845	92629				2026-09-13
42930	Triglachromis otostigma	species	2370846	114399				2026-09-13
42931	Triglidae	family	8635	48563				2026-09-13
42932	Triglops	genus	2334023	92631				2026-09-13
42933	Triglops dorothy	species	2334060	612145				2026-09-13
42934	Triglops forficatus	species	2334043	114400				2026-09-13
42935	Triglops jordani	species	2334028	612146				2026-09-13
42936	Triglops macellus	species	2334025	232944				2026-09-13
42937	Triglops metopias	species	2334024	612147				2026-09-13
42938	Triglops murrayi	species	2334048	232945				2026-09-13
42939	Triglops nybelini	species	2334027	232946				2026-09-13
42940	Triglops pingelii	species	2334033	232947				2026-09-13
42941	Triglops scepticus	species	2334046	612148				2026-09-13
42942	Triglops xenostethus	species	2334031	612149				2026-09-13
42943	Trigonectes	genus	2349251	92634				2026-09-13
42944	Trigonectes aplocheiloides	species	2349261	341199				2026-09-13
42945	Trigonectes balzanii	species	2349256	341200				2026-09-13
42946	Trigonectes macrophthalmus	species	2349262	341225				2026-09-13
42947	Trigonectes rogoaguae	species	2349254	341228				2026-09-13
42948	Trigonectes rubromarginatus	species	2349253	341378				2026-09-13
42949	Trigonectes strigabundus	species	2349252	341379				2026-09-13
42950	Trigonognathus	genus	2421010	92635				2026-09-13
42951	Trigonognathus kabeyai	species	2421011	114404				2026-09-13
42952	Trigonolampa	genus	2346998	92636				2026-09-13
42953	Trigonolampa miriceps	species	2346999	459231				2026-09-13
42954	Trigonopoma	genus	4837771	92637				2026-09-13
42955	Trigonopoma gracile	species	5962670	613745				2026-09-13
42956	Trigonopoma pauciperforatum	species	5962669	188199				2026-09-13
42957	Trigonostigma	genus	2367609	92639				2026-09-13
42958	Trigonostigma espei	species	2367616	188587				2026-09-13
42959	Trigonostigma hengeli	species	2367614	613746				2026-09-13
42960	Trigonostigma heteromorpha	species	2367610	188588				2026-09-13
42961	Trigonostigma somphongsi	species	2367619	114407				2026-09-13
42962	Trigonostigma truncata	species	11173146	1313586				2026-09-13
42963	Trimma	genus	2378538	92641				2026-09-13
42964	Trimma abyssum	species	9005570	786273				2026-09-13
42965	Trimma agrena	species	2378625	487525				2026-09-13
42966	Trimma albicaudatum	species		1439649				2026-09-13
42967	Trimma anaima	species	2378582	196646				2026-09-13
42968	Trimma annosum	species	2378632	530117				2026-09-13
42969	Trimma anthrenum	species	2378617	344287				2026-09-13
42970	Trimma aturirii	species	8275550	614991				2026-09-13
42971	Trimma avidori	species	2378577	614992				2026-09-13
42972	Trimma barralli	species	2378627	614993				2026-09-13
42973	Trimma bathum	species	9521486	623898				2026-09-13
42974	Trimma benjamini	species	2378584	196653				2026-09-13
42975	Trimma berumeni	species		1682182				2026-09-13
42976	Trimma bisella	species	2378595	614994				2026-09-13
42977	Trimma blematium	species	10179797	871118				2026-09-13
42978	Trimma burridgeae	species	8748980	614995				2026-09-13
